title,author,link,home,rss,date,timestamp
各种 AI 工具来来回回切模型太麻烦？Bifrost 自建 AI 网关，实现模型切换自由,虹墨空间站,https://www.imaegoo.com/2026/bifrost-router/,https://www.imaegoo.com/,https://www.imaegoo.com/atom.xml,2026-09-01,1788235200.0
智谱codingplan耐用程度分析：只用 GLM-5.3-Flash 够不够用？,张洪Heo,https://blog.zhheo.com/p/c0jzc71f.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-28,1787901722.0
软路由内网穿透访问方案全链路教程：从 ZeroTier 到 Nginx 再到 certd 证书管理,张洪Heo,https://blog.zhheo.com/p/mrlh0a7v.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-28,1787895663.0
BrowserSkill上手：让AI接入浏览器，还能录制动作教它学习,张洪Heo,https://blog.zhheo.com/p/q6b3774w.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-27,1787826965.0
我与我的 OpenClaw 凉透了焦虑和解了,张洪Heo,https://blog.zhheo.com/p/npa0251o.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-27,1787800404.0
ntfsmac 上手：不关 SIP 让 Mac 读写 NTFS 和 ext 硬盘,张洪Heo,https://blog.zhheo.com/p/ucrz6hhg.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-24,1787549502.0
个人小项目vibecoding方案推荐：opencode spark 1.2 和 zcode,张洪Heo,https://blog.zhheo.com/p/1bwuf82b.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-20,1787202332.0
跨域预检请求失败问题分析,虹墨空间站,https://www.imaegoo.com/2026/cors-issue-analysis/,https://www.imaegoo.com/,https://www.imaegoo.com/atom.xml,2026-08-19,1787121000.0
分享一下博客的全新聚合搜索,张洪Heo,https://blog.zhheo.com/p/mgii3qy1.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-19,1787118939.0
给DeepSeek-V4-Flash借一双眼睛：ZCode视觉子Agent方案,张洪Heo,https://blog.zhheo.com/p/3gr7k8xj.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-14,1786700793.0
Mole Mac 上手：界面精美，优秀好用的Mac清理工具,张洪Heo,https://blog.zhheo.com/p/lgodvfdh.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-14,1786695739.0
Agentation 油猴脚本：让AI指哪改哪，配合 Claude Code 的开发神器,张洪Heo,https://blog.zhheo.com/p/wh8h2uop.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-12,1786501904.0
洪绘压图网页版上线，这下可以随时随地在线压缩图片了,张洪Heo,https://blog.zhheo.com/p/tbp0pls8.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-10,1786344039.0
分享一下我最近制作的一些AI音乐，以及解决唱歌错字和音质的一些小技巧,张洪Heo,https://blog.zhheo.com/p/4c5g2me1.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-10,1786336007.0
洪绘敲木鱼支持“竹知了”模式了，可以自定义音效的电子竹知了App,张洪Heo,https://blog.zhheo.com/p/0zlnja8m.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-07,1786093120.0
谨慎选择京东云,虹墨空间站,https://www.imaegoo.com/2026/fk-jdcloud/,https://www.imaegoo.com/,https://www.imaegoo.com/atom.xml,2026-08-07,1786069800.0
AxonHub - 多模型API智能路由网关,LiuShen's Blog - 清羽飞扬,https://blog.liushen.fun/posts/b404081c/,https://blog.liushen.fun/,https://blog.liushen.fun/atom.xml,2026-08-06,1786036320.0
洪绘烧纸：一个网页在线电子烧纸，电子祭祀工具,张洪Heo,https://blog.zhheo.com/p/kiazx47a.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-06,1786005885.0
WebMCP适配教程：为浏览器AI预备好，让网页向 AI 提供工具，本博客已支持,张洪Heo,https://blog.zhheo.com/p/z1fmm8ee.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-08-06,1785988560.0
报错回顾：给OpenClaw添加错误行为记忆机制，让自己写的skill不断成长,张洪Heo,https://blog.zhheo.com/p/0x4n7juy.html,https://blog.zhheo.com/,https://blog.zhheo.com/rss.xml,2026-07-29,1785291657.0
